Rear foot,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
0,0.06,0.06,140.1,5.03
0.98,1.36,0.38,274.5,39.07
2.2,2.54,0.34,308.2,37.71
3.4,3.74,0.34,311.9,37.56
4.58,4.88,0.3,285.7,32.7
5.76,6.1,0.34,267.1,35.16
6.94,7.24,0.3,259.6,30.93
8.14,8.48,0.34,250.3,34.83
Rear foot,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
0,0.06,0.06,140.1,5.03
0.98,1.36,0.38,274.5,39.07
2.2,2.54,0.34,308.2,37.71
3.4,3.74,0.34,311.9,37.56
4.58,4.88,0.3,285.7,32.7
5.76,6.1,0.34,267.1,35.16
6.94,7.24,0.3,259.6,30.93
8.14,8.48,0.34,250.3,34.83
Mid foot,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
0,0.18,0.18,138.2,10.94
1.08,1.44,0.36,97.1,14.07
2.28,2.62,0.34,117.7,15.01
3.48,3.82,0.34,127,17.18
4.66,5,0.34,166.2,19.57
5.84,6.18,0.34,128.9,17.49
7.02,7.34,0.32,132.6,17.57
8.22,8.58,0.36,112.1,16.42
Fore foot,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
1.2,1.68,0.48,424,36.85
2.4,2.88,0.48,459.4,38.09
3.64,4.08,0.44,440.8,36.74
4.78,5.24,0.46,534.1,39.65
5.96,6.44,0.48,345.5,39.3
7.1,7.62,0.52,375.4,42.36
Total plantar surface,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
0,0.48,0.48,442.6,40.4
0.98,1.68,0.7,424,52.9
2.2,2.88,0.68,459.4,54.2
3.4,4.08,0.68,440.8,54.3
4.58,5.24,0.66,534.1,54.74
5.76,6.44,0.68,345.5,53.81
6.94,7.62,0.68,375.4,54.74
8.14,8.64,0.5,325,36.34
